            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2456185.500000000, A.D. 2012-Sep-15 00:00:00.0000,  4.661945650432161E+00, -2.208114687329067E+01, -8.727328128355129E+00,  3.283636610216007E-03, -7.576599256627964E-03, -2.938023641449669E-03,
2456215.500000000, A.D. 2012-Oct-15 00:00:00.0000,  4.760411012715828E+00, -2.230823852455546E+01, -8.815387294772481E+00,  3.280726173915468E-03, -7.562893450721215E-03, -2.932607106318636E-03,
2456245.500000000, A.D. 2012-Nov-14 00:00:00.0000,  4.858789538093403E+00, -2.253492338884922E+01, -8.903285714293173E+00,  3.277847459185592E-03, -7.549478510956019E-03, -2.927306532993772E-03,
2456275.500000000, A.D. 2012-Dec-14 00:00:00.0000,  4.957082175901573E+00, -2.276121004902710E+01, -8.991026808262394E+00,  3.275000306990337E-03, -7.536344966449372E-03, -2.922118116296654E-03,
2456305.500000000, A.D. 2013-Jan-13 00:00:00.0000,  5.055289587288192E+00, -2.298710685257215E+01, -9.078613932134909E+00,  3.272174182737655E-03, -7.523485314009780E-03, -2.917039890721699E-03,
2456335.500000000, A.D. 2013-Feb-12 00:00:00.0000,  5.153413136748449E+00, -2.321262174950065E+01, -9.166050273820655E+00,  3.269397165867779E-03, -7.510885409313663E-03, -2.912066394100219E-03,
2456365.500000000, A.D. 2013-Mar-14 00:00:00.0000,  5.251453669195820E+00, -2.343776255121638E+01, -9.253338918197459E+00,  3.266643465152797E-03, -7.498543262713462E-03, -2.907193246320969E-03,
2456395.500000000, A.D. 2013-Apr-13 00:00:00.0000,  5.349412051439272E+00, -2.366253681951842E+01, -9.340482853787949E+00,  3.263920442042464E-03, -7.486448552666317E-03, -2.902418621810950E-03,
2456425.500000000, A.D. 2013-May-13 00:00:00.0000,  5.447289199806643E+00, -2.388695186252034E+01, -9.427484990161659E+00,  3.261227827283917E-03, -7.474593667505584E-03, -2.897739467089314E-03,
2456455.500000000, A.D. 2013-Jun-12 00:00:00.0000,  5.545086070198632E+00, -2.411101475416752E+01, -9.514348143174947E+00,  3.258568285164604E-03, -7.462970658410426E-03, -2.893152608645057E-03,
2456485.500000000, A.D. 2013-Jul-12 00:00:00.0000,  5.642803323686587E+00, -2.433473216618262E+01, -9.601075056113343E+00,  3.255884546295675E-03, -7.451510219042249E-03, -2.888650908109178E-03,
2456515.500000000, A.D. 2013-Aug-11 00:00:00.0000,  5.740440529823336E+00, -2.455810878108387E+01, -9.687668060075586E+00,  3.253273554133485E-03, -7.440316348776475E-03, -2.884235191004123E-03,
2456545.500000000, A.D. 2013-Sep-10 00:00:00.0000,  5.837999958024617E+00, -2.478115328187487E+01, -9.774130023438927E+00,  3.250695829438822E-03, -7.429351415034599E-03, -2.879909673733504E-03,
2456575.500000000, A.D. 2013-Oct-10 00:00:00.0000,  5.935482585200125E+00, -2.500387192441302E+01, -9.860463461010209E+00,  3.248150768712462E-03, -7.418591947370060E-03, -2.875666293325310E-03,
